alpha,rho,k,accuracy
0.8,0.1,5,0.776595744680851
0.8,0.1,10,0.8085106382978723
0.8,0.1,15,0.8351063829787234
0.2,0.1,5,0.824468085106383
0.2,0.1,10,0.824468085106383
0.2,0.1,15,0.824468085106383
0.8,1.0,5,0.8670212765957447
0.8,1.0,10,0.851063829787234
0.8,1.0,15,0.824468085106383
0.2,1.0,5,0.8191489361702128
0.2,1.0,10,0.8138297872340425
0.2,1.0,15,0.8297872340425532
0.8,10.0,5,0.8723404255319149
0.8,10.0,10,0.8563829787234043
0.8,10.0,15,0.8351063829787234
0.2,10.0,5,0.824468085106383
0.2,10.0,10,0.8351063829787234
0.2,10.0,15,0.8563829787234043
0.8,100.0,5,0.8404255319148937
0.8,100.0,10,0.8191489361702128
0.8,100.0,15,0.8138297872340425
0.2,100.0,5,0.8191489361702128
0.2,100.0,10,0.8297872340425532
0.2,100.0,15,0.824468085106383
0.8,1000.0,5,0.8297872340425532
0.8,1000.0,10,0.7925531914893617
0.8,1000.0,15,0.7925531914893617
0.2,1000.0,5,0.8191489361702128
0.2,1000.0,10,0.7872340425531915
0.2,1000.0,15,0.7978723404255319
